# Time	Cd	Cl	Cm
0.001	1005.17	0.0275241	-7.07465e-05
0.002	1.58141	0.0180627	-0.000265566
0.003	43.9472	-0.00190527	-5.44096e-05
0.004	26.6707	-0.00117668	-6.63253e-05
0.005	22.1233	-0.00226517	-1.41807e-05
0.006	19.2222	-0.000978681	-1.57784e-05
0.007	17.4571	-0.000913133	-1.28218e-05
0.008	16.1387	-0.000835873	-1.27787e-05
0.009	15.1303	-0.000697501	-4.39423e-06
0.01	14.32	-0.00218498	-6.77851e-05
0.011	13.6578	-0.00225677	-6.47094e-05
0.012	13.0706	-0.00202259	-5.27684e-05
0.013	12.557	-0.00194458	-5.27147e-05
0.014	12.1009	-0.00179286	-4.67961e-05
0.015	11.6768	-0.0016784	-4.23591e-05
0.016	11.2837	-0.00159726	-4.15784e-05
0.017	10.9194	-0.00150012	-4.24762e-05
0.018	10.5813	-0.00142661	-4.22408e-05
0.019	10.2708	-0.00134477	-4.64162e-05
0.02	9.98468	-0.00130188	-4.31789e-05
0.021	9.72639	-0.00132051	-4.92128e-05
0.022	9.48659	-0.0012577	-4.65015e-05
0.023	9.26666	-0.00122592	-4.57354e-05
0.024	9.0641	-0.00115254	-4.43761e-05
0.025	8.87475	-0.00111708	-4.48336e-05
0.026	8.70076	-0.00109967	-4.10972e-05
0.027	8.53903	-0.0010519	-3.95699e-05
0.028	8.38993	-0.00101988	-3.86718e-05
0.029	8.24901	-0.00100041	-3.7564e-05
0.03	8.11822	-0.000965822	-3.62819e-05
0.031	7.99426	-0.000916807	-3.25269e-05
0.032	7.87849	-0.000905862	-3.21047e-05
0.033	7.76561	-0.000866483	-3.19662e-05
0.034	7.66043	-0.000846462	-3.10401e-05
0.035	7.55824	-0.000848744	-2.9807e-05
0.036	7.46273	-0.000810114	-2.94396e-05
0.037	7.37016	-0.000792301	-2.93389e-05
0.038	7.28167	-0.000776818	-2.87472e-05
0.039	7.1965	-0.000743757	-2.92719e-05
0.04	7.11465	-0.000758925	-2.57795e-05
0.041	7.03649	-0.000745512	-2.68161e-05
0.042	6.9617	-0.000717192	-2.27391e-05
0.043	6.88827	-0.000702126	-2.6469e-05
0.044	6.81849	-0.000706908	-2.32754e-05
0.045	6.75015	-0.000673751	-2.32098e-05
0.046	6.68451	-0.00067725	-2.18518e-05
0.047	6.62112	-0.000657082	-2.19805e-05
0.048	6.5597	-0.00062672	-2.04851e-05
0.049	6.5007	-0.000665464	-2.05556e-05
0.05	6.44298	-0.000624013	-1.9949e-05
0.051	6.38696	-0.000609069	-1.73454e-05
0.052	6.33246	-0.00061345	-1.94127e-05
0.053	6.27957	-0.00059606	-1.75099e-05
0.054	6.22848	-0.000585486	-1.72451e-05
0.055	6.17874	-0.000560991	-1.56968e-05
0.056	6.11918	-0.000926476	-3.17947e-05
0.057	6.07517	-0.000921916	-3.00997e-05
0.058	6.03196	-0.000874971	-2.04901e-05
0.059	5.98955	-0.000934699	-2.56936e-05
0.06	5.94869	-0.000887553	-1.58068e-05
0.061	5.9081	-0.000899729	-1.72886e-05
0.062	5.86865	-0.000867913	-1.15985e-05
0.063	5.83004	-0.000881062	-1.36725e-05
0.064	5.79226	-0.000825676	-7.56635e-06
0.065	5.75504	-0.000872767	-8.02489e-06
0.066	5.71914	-0.000839737	-7.27399e-06
0.067	5.68385	-0.000848668	-8.51187e-06
0.068	5.64896	-0.000810081	-5.44009e-06
0.069	5.61496	-0.000816757	-3.40265e-06
0.07	5.5818	-0.000819334	-1.82757e-06
0.071	5.5488	-0.000777163	-4.63364e-06
0.072	5.51686	-0.000805087	-1.63228e-06
0.073	5.48528	-0.000779117	-2.98716e-06
0.074	5.45435	-0.000769306	1.52211e-06
0.075	5.42353	-0.000749535	-1.1812e-06
0.076	5.3934	-0.000726753	3.57179e-06
0.077	5.36405	-0.000763584	-2.19395e-06
0.078	5.3351	-0.000758455	-2.85466e-06
0.079	5.30688	-0.00073695	-3.25525e-07
0.08	5.27877	-0.000718234	-1.46224e-07
0.081	5.25125	-0.000730449	-1.71325e-07
0.082	5.22397	-0.000673853	9.5348e-07
0.083	5.19705	-0.000719946	-1.76462e-06
0.084	5.17071	-0.000645928	6.97522e-06
0.085	5.14502	-0.000732724	-2.67844e-06
0.086	5.11973	-0.000664057	3.45798e-06
0.087	5.09456	-0.000678148	-2.03676e-06
0.088	5.07003	-0.000683521	1.73459e-06
0.089	5.04551	-0.000628541	-1.21409e-06
0.09	5.02137	-0.000640822	2.78889e-06
0.091	4.99769	-0.000625769	4.95463e-08
0.092	4.97415	-0.000602879	-5.45573e-07
0.093	4.95106	-0.000630299	2.46014e-06
0.094	4.92808	-0.000611718	4.41772e-06
0.095	4.90561	-0.000624689	4.48238e-07
0.096	4.88343	-0.000592243	5.59892e-06
0.097	4.86143	-0.00060941	1.46406e-06
0.098	4.83982	-0.000594298	2.99198e-06
0.099	4.8185	-0.000657621	4.99304e-06
0.1	4.79736	-0.000587921	2.69671e-06
0.101	4.77637	-0.000584918	4.88103e-06
0.102	4.75583	-0.000578668	3.39356e-06
0.103	4.73531	-0.000580474	2.49597e-06
0.104	4.71529	-0.000564133	3.59716e-06
0.105	4.69535	-0.000516133	3.61044e-06
0.106	4.67563	-0.000564786	4.02784e-06
0.107	4.65655	-0.000548684	3.02774e-06
0.108	4.63746	-0.000577371	1.6435e-06
0.109	4.61889	-0.000483664	5.45023e-06
0.11	4.6	-0.000571595	3.015e-06
0.111	4.58137	-0.000469825	4.95221e-06
0.112	4.56301	-0.000539314	3.75163e-06
0.113	4.54489	-0.00046273	3.30145e-06
0.114	4.52704	-0.000523255	4.64436e-06
0.115	4.50925	-0.000463012	4.64361e-06
0.116	4.49159	-0.000501856	5.70771e-06
