# Time	Cd	Cl	Cm
0.002	1005.04	-3.41159	0.0553701
0.004	3.15659	-2.48706	-0.00672401
0.006	42.2302	-3.14925	0.0194817
0.008	25.5544	-3.14729	0.0160816
0.01	21.2244	-2.81897	0.0192136
0.012	18.251	-2.89204	0.0154408
0.014	16.5332	-2.96987	0.01305
0.016	15.2895	-2.98779	0.0101788
0.018	14.3445	-3.01746	0.00978864
0.02	13.5835	-3.06519	0.00462353
0.022	12.9666	-3.21115	0.00679689
0.024	12.4274	-3.07539	0.00652857
0.026	11.9643	-2.92617	0.00378236
0.028	11.5409	-2.89858	0.00195619
0.03	11.1613	-2.87049	0.00023223
0.032	10.8079	-2.84812	-0.00101772
0.034	10.4757	-2.84033	-0.00310723
0.036	10.1646	-2.83413	-0.00527075
0.038	9.87596	-2.82317	-0.0065664
0.04	9.61154	-2.81454	-0.0081891
0.042	9.36569	-2.79883	-0.00945953
0.044	9.14103	-2.78613	-0.0110934
0.046	8.93341	-2.76745	-0.0128526
0.048	8.74269	-2.74613	-0.0140341
0.05	8.56484	-2.72321	-0.0159816
0.052	8.39938	-2.70048	-0.017204
0.054	8.24476	-2.67871	-0.0187819
0.056	8.10135	-2.65093	-0.0202152
0.058	7.9672	-2.61662	-0.0217241
0.06	7.84346	-2.57835	-0.0237323
0.062	7.72614	-2.54354	-0.0256487
0.064	7.61621	-2.51197	-0.0274117
0.066	7.51059	-2.47137	-0.0286805
0.068	7.41059	-2.43043	-0.0296658
