# Time	Cd	Cl	Cm
0.002	313.286	-130.283	0.033798
0.004	48.9352	-131.277	0.176056
0.006	35.2348	-132.025	0.281457
0.008	28.8579	-132.678	0.383698
0.01	25.0349	-133.221	0.485132
0.012	22.4209	-133.667	0.585289
0.014	20.4989	-134.057	0.684166
0.016	18.9979	-134.357	0.787977
0.018	17.7888	-134.622	0.886702
0.02	16.8048	-134.889	0.981341
0.022	15.9752	-135.095	1.0715
0.024	15.2545	-135.253	1.1642
0.026	14.6315	-135.361	1.25611
0.028	14.0832	-135.444	1.34704
0.03	13.5974	-135.494	1.43776
0.032	13.1635	-135.513	1.52818
0.034	12.7722	-135.52	1.61868
0.036	12.417	-135.474	1.70785
0.038	12.0948	-135.39	1.79606
0.04	11.8008	-135.315	1.88409
0.042	11.5295	-135.198	1.97151
0.044	11.2786	-135.056	2.05867
0.046	11.0462	-134.886	2.14527
0.048	10.8305	-134.691	2.23151
0.05	10.6289	-134.471	2.31686
0.052	10.4402	-134.224	2.4016
0.054	10.2625	-133.968	2.48733
0.056	10.0975	-133.66	2.57291
0.058	9.93968	-133.381	2.65938
0.06	9.79217	-132.995	2.74119
0.062	9.6531	-132.647	2.8233
0.064	9.519	-132.263	2.90453
0.066	9.39351	-131.853	2.98749
0.068	9.27254	-131.423	3.06786
0.07	9.15911	-130.976	3.14866
0.072	9.0477	-130.504	3.22811
0.074	8.94436	-130.012	3.30801
0.076	8.8437	-129.506	3.3873
0.078	8.74757	-128.968	3.46417
0.08	8.6559	-128.413	3.54104
0.082	8.56685	-127.841	3.61705
0.084	8.48313	-127.238	3.69303
0.086	8.39893	-126.648	3.7684
0.088	8.32203	-125.992	3.84076
0.09	8.2451	-125.343	3.91443
0.092	8.17262	-124.665	3.98534
0.094	8.10055	-123.977	4.05715
0.096	8.03355	-123.243	4.12598
0.098	7.96499	-122.527	4.19559
0.1	7.9014	-121.775	4.26374
